province,month,year,month_of_year,hcl_emission,pcl_emission
内蒙古自治区,8,1962,9,10203453870.709457,14982264218.977505
北京市,8,1962,9,39324213.91713683,21328789.318595327
吉林省,8,1962,9,1513328122.6750028,1408751618.7518299
四川省,8,1962,9,6670759216.449644,4179270327.1655483
天津市,8,1962,9,24063251.968753465,15040487.126897825
宁夏回族自治区,8,1962,9,98296280.50931436,28422574.21341537
安徽省,8,1962,9,1872329241.810018,1968401688.379938
山东省,8,1962,9,3155151308.9223166,3003629036.7946973
山西省,8,1962,9,1055815081.684177,367848330.50762665
广东省,8,1962,9,1483769679.7689478,867554288.8214333
广西壮族自治区,8,1962,9,1359586792.206474,1224218936.4535635
新疆维吾尔自治区,8,1962,9,9380654571.47286,13808663737.422428
江苏省,8,1962,9,1500500746.890089,1645043218.72182
江西省,8,1962,9,869097016.2084343,552154639.7268358
河北省,8,1962,9,3253719557.5450206,2014364951.6476886
河南省,8,1962,9,2646968642.5781164,1876083170.8513498
浙江省,8,1962,9,664531158.1816272,371671324.666209
海南省,8,1962,9,65464450.410459936,126348397.15580828
湖北省,8,1962,9,1976568374.8392148,1918942560.6183558
湖南省,8,1962,9,1901380065.6005073,1000039702.3156145
甘肃省,8,1962,9,2146464472.0551052,1300473012.1246018
福建省,8,1962,9,367867836.1795139,153400785.6127005
西藏自治区,8,1962,9,2313220473.7991457,4381490670.217265
贵州省,8,1962,9,1009017777.0728375,400596739.4342587
辽宁省,8,1962,9,1443582579.4305391,1085060422.6727762
重庆市,8,1962,9,455187458.9591619,311011181.0879181
陕西省,8,1962,9,1245339288.587536,731349697.4005349
青海省,8,1962,9,585884703.7108068,380232652.167479
香港特别行政区,8,1962,9,366159.76053484355,56231.338098029104
黑龙江省,8,1962,9,6110893216.836908,10795437125.40341
上海市,9,1962,10,13757941.002450455,1640664.8183589536
云南省,9,1962,10,1895097590.612013,804044174.9044472
内蒙古自治区,9,1962,10,9808949537.850204,13000358648.231388
北京市,9,1962,10,39432389.14549115,21149249.45441923
吉林省,9,1962,10,1709171238.8880186,2174952473.2056446
四川省,9,1962,10,6634854650.778666,4079829959.9384904
天津市,9,1962,10,23923658.259087637,14859904.473256245
宁夏回族自治区,9,1962,10,101797283.39846373,35760940.13304966
安徽省,9,1962,10,1858044848.3865871,2000760215.545466
山东省,9,1962,10,3111072348.2570868,2820855675.6128545
山西省,9,1962,10,1094691105.5741339,508200675.6494175
广东省,9,1962,10,1521225601.390011,996263076.986894
广西壮族自治区,9,1962,10,1388753413.0177684,1337790452.1231391
新疆维吾尔自治区,9,1962,10,10916892102.93592,18096331424.98012
江苏省,9,1962,10,1490744462.4786208,1652865962.2521112
江西省,9,1962,10,872812461.0643704,615301672.3121208
河北省,9,1962,10,3287430587.5321436,2094038017.494114
河南省,9,1962,10,2635037116.007159,1905447369.2455292
浙江省,9,1962,10,656051827.5071603,327329144.7975809
海南省,9,1962,10,64273782.61658985,123119492.31047696
湖北省,9,1962,10,1965438658.7784271,1926752540.6451993
湖南省,9,1962,10,1900468030.5698276,1052668858.2277235
甘肃省,9,1962,10,2490584680.311541,1966918652.9656837
福建省,9,1962,10,366256212.41254246,138729731.18514028
西藏自治区,9,1962,10,2445959896.882349,4585360438.368317
贵州省,9,1962,10,995240804.2735784,385897768.8601653
辽宁省,9,1962,10,1499281502.4066653,1351389526.560312
重庆市,9,1962,10,450860177.18134534,298470519.0667154
陕西省,9,1962,10,1258827162.045781,753702739.3242915
青海省,9,1962,10,701646842.728236,600084277.1367162
香港特别行政区,9,1962,10,365933.53544251283,57617.9889608693
黑龙江省,9,1962,10,10215749978.975283,31553888317.470085
上海市,10,1962,11,13795835.847891128,1676225.7876458555
云南省,10,1962,11,1960580356.3642583,904160359.0942807
内蒙古自治区,10,1962,11,12067063271.581808,16984815567.680113
北京市,10,1962,11,47111737.062612236,32498603.311387736
吉林省,10,1962,11,2550247786.313361,4051544254.615724
四川省,10,1962,11,6848718614.622139,4557360876.582353
天津市,10,1962,11,27791643.08430925,23074192.342214838
宁夏回族自治区,10,1962,11,114008666.38850692,48885842.53399693
安徽省,10,1962,11,1933967503.3577375,1998888378.5420794
山东省,10,1962,11,3474019400.714143,3745191901.592193
山西省,10,1962,11,1255098925.7609584,598187411.2462093
广东省,10,1962,11,1542646588.0187562,1040923512.6255285
